weather_fact_key,date_key,time_key,weather_key,temperature_2m,dewpoint_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,windspeed_10m
15595,20190411,400,7833,4.5,-2.3,-0.5,0,0,0,0,17.2
15596,20190412,400,20267,3.2,-4.1,-1.7,0.1,0,0.07,0,15.1
15597,20170831,400,9662,16.2,9.2,15,0,0,0,0,7
15598,20190513,400,16300,8.6,3.2,4.5,0,0,0,0,17.7
15599,20170318,400,385,5,3.3,3.1,0.1,0.1,0,0,2.5
15600,20170815,400,25075,16.5,13,16.1,0,0,0,0,9.5
15601,20180324,400,10079,-0.2,-1.2,-3.3,0,0,0,0,5.4
15602,20190413,400,25133,2.8,-3.1,-1.2,0,0,0,0,9.7
15603,20190414,400,22082,3.9,2.2,0.7,0.1,0.1,0,0,9.7
15604,20170830,400,5711,13.8,9.1,12.7,0,0,0,0,6
15605,20170224,400,1080,9.8,1.2,5.5,0,0,0,0,15.8
15606,20190512,400,23427,10.5,9,9.2,0.7,0.7,0,0,6.8
15607,20170118,400,23388,-4.8,-7.4,-9.5,0,0,0,0.06,11.8
15608,20190415,400,11267,5.7,-3.8,1.3,0,0,0,0,12.4
15609,20190416,400,4560,2.8,-4.4,-1.3,0,0,0,0,9.4
15610,20190511,400,17231,5,3.5,2.5,0,0,0,0,6.5
15611,20170829,400,15188,12.8,9.8,11.9,0,0,0,0,6.1
15612,20170816,400,21406,17,10.4,16.2,0,0,0,0,6.1
15613,20180612,400,21441,20.8,17.5,22.1,0,0,0,0,9
15614,20190417,400,1898,2.6,-3.8,-1.2,0,0,0,0,7.9
15615,20190418,400,20996,6.1,1.4,2.9,0,0,0,0,9.2
15616,20170828,400,17315,16.1,11.2,15.2,0,0,0,0,8.6
15617,20190419,400,9358,9.6,0.4,5.8,0,0,0,0,12.2
15618,20170827,400,17175,18.3,15.2,19.4,0,0,0,0,5
15619,20190510,400,11731,8.9,6.4,7.3,0,0,0,0,4.6
15620,20190420,400,8491,5.9,-1,2.2,0,0,0,0,10.2
15621,20170120,400,13102,-13,-17.9,-17.5,0,0,0,0.06,5.4
15622,20190421,400,7983,7.3,-2.9,3.5,0,0,0,0,8.3
15623,20180613,400,5886,16.7,14.6,16.7,0,0,0,0,10.8
15624,20170826,400,21198,17.6,14.8,18.4,0,0,0,0,5.7
15625,20170817,400,12989,16.7,15.9,17.5,0,0,0,0,8.2
15626,20180210,400,17678,-2.4,-4.2,-5.9,0,0,0,0.04,5.8
15627,20190422,400,18664,5.8,1.4,3,0,0,0,0,5.8
15628,20190423,400,15909,10.1,6.6,7,0.2,0.2,0,0,15.5
15629,20190509,400,13276,9.6,6.7,6.8,0.4,0.4,0,0,13.1
15630,20190424,400,8366,9.2,7.4,5.4,0,0,0,0,21.7
15631,20170825,400,4669,17.3,14.6,17.5,0,0,0,0,8.9
15632,20190508,400,22020,1.9,-0.4,-1.5,0,0,0,0,8
15633,20190425,400,400,11.9,9.2,10.5,0,0,0,0,8.3
15634,20190426,400,11055,10.9,8.4,9.2,0,0,0,0,9.2
15635,20170824,400,20486,10.3,6.8,8.7,0,0,0,0,5.5
15636,20170818,400,24276,18.4,14.3,19.2,0,0,0,0,4.3
15637,20180422,400,18425,15,9.2,13.6,0,0,0,0,8.1
15638,20190427,400,23102,10,4.6,6.7,0.1,0.1,0,0,13.7
15639,20190428,400,10172,8.6,4.9,4.3,0,0,0,0,21.1
